Time of Day	Process Name	PID	Operation	Path	Result	Detail
09:03.4	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy	SUCCESS	Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened
09:03.4	Explorer.EXE	4736	QueryDirectory	C:\Users\Public\Desktop\SensitiveDocs_copy	SUCCESS	FileInformationClass: FileIdBothDirectoryInformation, 1: ., 2: .., 3: Confidential-Report.docx, 4: Confidential-Report.txt, 5: credentials.txt, 6: SensitiveDocs
09:06.1	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs	SUCCESS	Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened
09:06.1	Explorer.EXE	4736	QueryDirectory	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs	SUCCESS	FileInformationClass: FileIdBothDirectoryInformation, 1: ., 2: .., 3: Confidential-Report.docx, 4: Confidential-Report.txt, 5: credentials.txt
09:06.1	Explorer.EXE	4736	ReadFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs	SUCCESS	Offset: 0, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Normal
09:08.5	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs\Confidential-Report.docx	SUCCESS	Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened
09:08.7	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs\Confidential-Report.docx	SUCCESS	Desired Access: Read Attributes, Read Control, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened
09:09.1	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs\Confidential-Report.docx	SUCCESS	Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened
09:09.2	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs\Confidential-Report.docx	SUCCESS	Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened
09:11.7	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs\Confidential-Report.txt	SUCCESS	Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened
09:11.9	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs\Confidential-Report.txt	SUCCESS	Desired Access: Read Attributes, Read Control, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened
09:12.0	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs\Confidential-Report.txt	SUCCESS	Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened
09:15.0	Explorer.EXE	4736	CreateFile	C:\Users\Public\Desktop\SensitiveDocs_copy\SensitiveDocs\credentials.txt	SUCCESS	Desired Access: Read Attributes, Read Control, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened
